"Samuels-MacBook-Pro.local","Joey and Sams Test"
"osj-ngm-09-prd","Powerstore"
"osj-ngm-09-tst","Powerstore"
"osj-ntl-01-prd","ECS (Unstructured Storage) - Nautilus"
"osj-ntl-01-tst","ECS (Unstructured Storage) - Nautilus"
"osj-nxs-01-rd","Nexus"
"osj-nxs-01-tst","Nexus"
"osj-ocm-01-prd","thunderscale"
"osj-ocm-01-tst","thunderscale"
"osj-ocm-02-prd","GCP (OneFS Cloud Manager)"
"osj-ocm-02-tst","GCP (OneFS Cloud Manager)"
"osj-ome-01-prd","OpenManage Enterprise IMSE"
"osj-ome-01-tst","OpenManage Enterprise IMSE"
"osj-omm-01-prd","OpenManageMobile IMSE"
"osj-omm-01-tst","OpenManageMobile IMSE"
"osj-ota-01-prd","OTEL Automation"
"osj-ota-01-tst","OTEL Automation"
"osj-otc-01-prd","OTEL CERT"
"osj-otc-01-tst","OTEL CERT"
"osj-otd-01-prd","OTEL Dev"
"osj-otd-01-tst","OTEL Dev"
"osj-pal-01-prd","Performance Analysis Lab"
"osj-pal-01-tst","Performance Analysis Lab"
"osj-pfc-02-prd","PowerFlex"
"osj-pfc-02-tst","PowerFlex"
"osj-pfm-01-prd","PowerFlex Manager"
"osj-pfm-01-tst","PowerFlex Manager"
"osj-pfo-01-prd","PlatformOne"
"osj-pfo-01-tst","PlatformOne"
"osj-phm-01-prd","CTO/Cloud Phoenix Mobile"
"osj-phm-01-tst","CTO/Cloud Phoenix Mobile"
"osj-phm-02-prd","CTO/Cloud Phoenix Mobile"
"osj-phm-02-tst","CTO/Cloud Phoenix Mobile"
"osj-pis-01-prd","Powerinsights"
"osj-pis-01-tst","Powerinsights"
"osj-plp-01-prd","Power Leverage Platform"
"osj-plp-01-tst","Power Leverage Platform"
"osj-pos-01-prd","(FEDERATED) PowerEdge OS"
"osj-pos-01-tst","PowerEdge OS"
"osj-pse-01-prd","SIS PSE"
"osj-pse-01-tst","SIS PSE"
"osj-pti-01-prd","PowerTools Jenkins PLP"
"osj-pti-01-tst","PowerTools Jenkins PLP"
"osj-qaj-01-prd","CMO"
"osj-qaj-01-tst","CMO"
"osj-rcp-01-prd","Recover point"
"osj-rcp-01-tst","Recover point"
"osj-rps-01-prd","Remote Proactive Services"
"osj-rps-01-tst","Remote Proactive Services"
"osj-sdn-01-prd","SDNAS"
"osj-sdn-01-tst","SDNAS"
"osj-sdn-02-prd","SDNAS"
"osj-sdn-02-tst","SDNAS"
"osj-sdn-03-prd","SDNAS"
"osj-sdn-03-tst","SDNAS"
"osj-sdn-04-prd","SDNAS Trident Integration"
"osj-sdn-04-tst","SDNAS Trident Integration"
"osj-sdn-05-prd","SDNAS Core and Nucleus"
"osj-sdn-05-tst","SDNAS Core and Nucleus"
"osj-sio-01-prd","CloudIQ"
"osj-sio-01-tst","CloudIQ"
"osj-sio-02-prd","PIE"
"osj-sio-02-tst","PIE"
"osj-sio-03-prd","DevCon CSI VRI"
"osj-sio-03-tst","DevCon CSI VRI"
"osj-sis-01-prd","SIS"
"osj-sis-01-tst","SIS"
"osj-sse-01-prd","SIS SSE (Open Manage)"
"osj-sse-01-tst","SIS SSE (Open Manage)"
"osj-sst-01-prd","DPA System Test Engineering"
"osj-sst-01-tst","DPA System Test Engineering"
"osj-swr-01-prd","SW RAID"
"osj-swr-01-tst","SW RAID"
"osj-tsb-01-prd","Dell TSB SwFactory"
"osj-tsb-01-tst","Dell TSB SwFactory"
"osj-tsm-01-prd","BSafe Tasman"
